dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,4,8,14,18,22,30,38,50,density,speedup
crplat2,18011,489478,0.0056,0.0424,0.006,0.006,0.006,0.0101,0.0101,0.0118,0.0117,0.015,0,0.93
crystk02,13966,491274,0.006,0.0663,0.006,0.006,0.006,0.0102,0.0108,0.0109,0.0109,0.0158,0,1.0
crystk03,24697,887937,0.0084,0.1165,0.0084,0.0085,0.0085,0.0126,0.0133,0.0133,0.0159,0.024,0,1.0
crystm02,13966,168435,0.0053,0.016,0.006,0.0068,0.0068,0.0101,0.0126,0.0133,0.0174,0.0191,0,0.88
crystm03,24697,304233,0.007,0.0256,0.0093,0.01,0.0101,0.015,0.0199,0.0208,0.0264,0.0306,0,0.75
ct2010,67579,168176,0.0114,0.0322,0.0117,0.0142,0.0208,0.0289,0.0346,0.0355,0.0359,0.0355,0,0.97
ct20stif,52330,1375396,0.0227,0.1349,0.0223,0.0231,0.0249,0.0283,0.0305,0.0338,0.0387,0.0462,4,1.02
Cube_Coup_dt0,2164761,64685452,0.7253,5.4775,0.6642,0.7298,0.797,1.0696,1.2221,1.3346,1.4966,2.2302,4,1.09
Cube_Coup_dt6,2164761,64685452,0.7261,5.72,0.665,0.7296,0.7957,1.0694,1.225,1.3321,1.4954,2.231,4,1.09
CurlCurl_0,11084,62213,0.0042,0.0095,0.0047,0.0048,0.0055,0.0063,0.0063,0.0064,0.0078,0.0104,0,0.89
CurlCurl_4,2380516,14448191,0.2928,1.727,0.3316,0.4038,0.9259,1.0479,1.0477,1.0485,1.2132,2.1525,0,0.88
cvxqp3,17501,69981,0.0047,0.0119,0.0052,0.0051,0.0044,0.0126,0.0126,0.0126,0.0125,0.0125,14,1.07
cyl6,13682,363961,0.0096,0.0251,0.01,0.01,0.0101,0.0084,0.01,0.0117,0.0117,0.0126,18,1.14
darcy003,389875,1167685,0.0313,0.1784,0.0322,0.0584,0.078,0.1141,0.1542,0.2075,0.2075,0.2075,0,0.97
dawson5,51538,531157,0.0103,0.0441,0.01,0.0117,0.015,0.0199,0.0224,0.0273,0.0338,0.0412,4,1.03
dblp-2010,326187,807700,0.1423,0.1292,0.1354,0.1305,0.1289,0.0936,0.1059,0.1215,0.128,0.133,18,1.38
dc3,116836,766396,0.0699,0.0895,0.074,0.0764,0.0813,0.0961,0.0969,0.0919,0.0896,0.0985,0,0.94
de2010,24116,58028,0.0057,0.0168,0.006,0.0068,0.0085,0.0166,0.0183,0.0182,0.0183,0.0182,0,0.95
debr,1048577,2097149,0.1082,0.5746,0.1084,0.21,0.4741,0.474,0.6949,0.695,0.695,0.695,0,1.0
delaunay_n15,32769,98274,0.0061,0.0176,0.006,0.0076,0.0092,0.0092,0.0101,0.0182,0.0199,0.0199,4,1.02
delaunay_n16,65537,196575,0.0083,0.032,0.0084,0.0126,0.0158,0.0159,0.0166,0.0314,0.0363,0.0363,0,0.99
delaunay_n17,131073,393176,0.0129,0.0598,0.0149,0.0232,0.0281,0.0289,0.0297,0.0584,0.0675,0.0674,0,0.87
delaunay_n18,262145,786396,0.0217,0.1159,0.0272,0.0445,0.0551,0.0559,0.0593,0.1108,0.1309,0.1305,0,0.8
delaunay_n19,524289,1572823,0.0395,0.2293,0.051,0.0838,0.1035,0.1051,0.11,0.2229,0.2582,0.2582,0,0.77
delaunay_n20,1048577,3145686,0.113,0.561,0.1397,0.216,0.2643,0.2715,0.2888,0.5908,0.6957,0.6956,0,0.81
delaunay_n21,2097153,6291408,0.2411,1.1372,0.3076,0.4749,0.5797,0.5863,0.6158,1.2583,1.4119,1.4122,0,0.78
delaunay_n22,4194305,12582869,0.495,2.2817,0.6298,0.9844,1.2078,1.2285,1.3113,2.5233,2.8383,2.8382,0,0.79
denormal,89401,622812,0.0106,0.0566,0.0108,0.0109,0.0519,0.0519,0.0519,0.0527,0.0526,0.069,0,0.98
dictionary28,52653,89038,0.0092,0.0193,0.0093,0.0117,0.015,0.0183,0.0199,0.0207,0.0207,0.0207,0,0.99
dielFilterV2clx,607233,12958252,0.3352,1.1237,0.3476,0.3751,0.4349,0.5125,0.5518,0.6003,0.7533,0.9267,0,0.96
dielFilterV2real,1157457,24848204,0.5863,2.1826,0.5896,0.6082,0.7413,1.0525,1.0741,1.2297,1.5262,1.8744,0,0.99
dielFilterV3clx,420409,16653308,0.3127,1.9559,0.3215,0.3357,0.3661,0.4755,0.499,0.5524,0.7064,0.9127,0,0.97
Dubcova1,16130,134569,0.0057,0.0142,0.0052,0.0052,0.0068,0.0093,0.0117,0.0125,0.0133,0.0142,4,1.1
Dubcova3,146690,1891669,0.0227,0.1431,0.0198,0.0215,0.0363,0.0445,0.0494,0.0617,0.0921,0.0936,4,1.15
e40r0100,17282,553562,0.0087,0.0636,0.0093,0.0085,0.0092,0.0166,0.0174,0.019,0.0249,0.0306,8,1.02
EAT_RS,23220,325592,0.0163,0.0463,0.0165,0.0166,0.0191,0.0437,0.0461,0.0478,0.0493,0.0494,0,0.99
ecology1,1000001,2998000,0.1213,0.5498,0.1627,0.1627,0.1621,0.1616,0.1634,0.677,0.6771,0.6772,0,0.75
ecology2,1000000,2997995,0.1201,0.5502,0.1624,0.1616,0.162,0.1627,0.1626,0.6771,0.6771,0.6769,0,0.74
email-Enron,36693,183831,0.0144,0.0261,0.0141,0.015,0.0175,0.0183,0.0199,0.024,0.0265,0.0281,4,1.02
Emilia_923,923137,20964171,0.2881,1.5061,0.2984,0.3253,0.3849,0.4315,0.4707,0.57,0.7572,1.1785,0,0.97
engine,143572,2424822,0.069,0.2405,0.0698,0.0729,0.0779,0.083,0.0798,0.0878,0.1068,0.2198,0,0.99
enron,69245,276143,0.0255,0.0443,0.0207,0.0191,0.0174,0.0331,0.033,0.033,0.0372,0.0405,14,1.47
eu-2005,862665,19235140,0.544,2.0871,0.56,0.6021,0.6758,0.9818,1.0211,1.0556,1.1258,1.1852,0,0.97
