dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,density,speedup
transient,178867,961790,0.3063,0.4315,0.312,0.5064,0.7031,0.6626,0.5738,0.5676,0.531,0.5293,0,0.98
trdheim,22099,978711,0.0249,0.1061,0.027,0.0383,0.0417,0.0482,0.0509,0.0587,0.0605,0.0751,0,0.92
Trefethen_20000,20001,287233,0.0291,0.0372,0.0313,0.0485,0.0482,0.049,0.0383,0.0384,0.0384,0.0383,0,0.93
Trefethen_20000b,20000,287217,0.0291,0.0371,0.031,0.049,0.0481,0.049,0.0383,0.0383,0.0383,0.0384,0,0.94
troll,213454,6099282,0.307,0.7116,0.3107,0.5043,0.6187,0.7151,0.7756,0.7881,0.7961,0.8074,0,0.99
TSOPF_FS_b162_c1,10799,305732,0.012,0.0273,0.0146,0.0195,0.0195,0.0204,0.0204,0.0203,0.0212,0.022,0,0.82
TSOPF_FS_b162_c3,30799,904612,0.0256,0.0732,0.0285,0.0425,0.0441,0.0449,0.0449,0.0467,0.0482,0.0506,0,0.9
TSOPF_FS_b162_c4,40799,1204322,0.0312,0.0953,0.0335,0.0531,0.0547,0.0556,0.0564,0.058,0.0605,0.0646,0,0.93
TSOPF_FS_b300,29215,2203949,0.0455,0.156,0.0475,0.0596,0.0606,0.0613,0.0621,0.0646,0.067,0.0696,0,0.96
TSOPF_FS_b300_c1,29215,2203949,0.0456,0.1559,0.048,0.0598,0.0605,0.0613,0.063,0.0646,0.0671,0.0695,0,0.95
TSOPF_FS_b300_c2,56815,4391071,0.0843,0.3051,0.0858,0.1089,0.1105,0.112,0.1146,0.1187,0.126,0.1293,0,0.98
TSOPF_FS_b300_c3,84415,6578753,0.1459,0.4528,0.1483,0.1783,0.1816,0.1851,0.187,0.1927,0.1987,0.2032,0,0.98
TSOPF_FS_b39_c19,76217,998359,0.0369,0.1067,0.0409,0.0825,0.0867,0.0909,0.0933,0.0973,0.1,0.1015,0,0.9
TSOPF_FS_b39_c30,120217,1575639,0.0871,0.1849,0.0895,0.1631,0.1665,0.1725,0.1769,0.183,0.187,0.1903,0,0.97
TSOPF_FS_b39_c7,28217,368599,0.0164,0.0412,0.0191,0.0347,0.035,0.0367,0.0368,0.0387,0.0401,0.0424,0,0.86
TSOPF_FS_b9_c6,14455,75801,0.0076,0.0142,0.0097,0.0203,0.0203,0.0212,0.022,0.022,0.022,0.0228,0,0.78
TSOPF_RS_b162_c3,15375,610299,0.0199,0.0544,0.0223,0.0351,0.0351,0.0351,0.0343,0.0343,0.035,0.0359,0,0.89
TSOPF_RS_b162_c4,20375,812749,0.0239,0.0707,0.0261,0.0424,0.0425,0.0432,0.0424,0.0432,0.0441,0.0449,0,0.92
TSOPF_RS_b2052_c1,25627,6761100,0.1231,0.6233,0.1245,0.1416,0.1426,0.1418,0.1424,0.1424,0.1446,0.1465,0,0.99
TSOPF_RS_b2383,38121,16171169,0.2983,1.6174,0.3009,0.3253,0.3211,0.3193,0.3192,0.3262,0.3286,0.331,0,0.99
TSOPF_RS_b2383_c1,38121,16171169,0.2982,1.617,0.3004,0.3257,0.3211,0.3183,0.319,0.3256,0.3285,0.331,0,0.99
TSOPF_RS_b300_c1,14539,1474325,0.0348,0.1126,0.0367,0.0474,0.0474,0.0474,0.0474,0.0482,0.049,0.0498,0,0.95
TSOPF_RS_b300_c2,28339,2943887,0.0645,0.2264,0.0662,0.0858,0.0851,0.0858,0.0861,0.0875,0.0899,0.0915,0,0.97
TSOPF_RS_b300_c3,42139,4413449,0.0915,0.3416,0.0933,0.1219,0.1219,0.1227,0.1244,0.127,0.1277,0.1308,0,0.98
TSOPF_RS_b39_c19,38099,684206,0.0274,0.0674,0.031,0.0628,0.0629,0.0638,0.0646,0.0637,0.0638,0.067,0,0.88
TSOPF_RS_b39_c30,60099,1079986,0.0421,0.107,0.0457,0.0965,0.0965,0.0973,0.0977,0.0982,0.0984,0.1014,0,0.92
TSOPF_RS_b39_c7,14099,252446,0.0127,0.0265,0.015,0.0272,0.0269,0.0285,0.0286,0.0286,0.0285,0.0294,0,0.85
TSOPF_RS_b678_c1,18697,4396289,0.0857,0.3714,0.0875,0.0975,0.0974,0.0972,0.0981,0.0998,0.0997,0.1022,0,0.98
TSOPF_RS_b678_c2,35697,8781949,0.1705,0.7482,0.1714,0.1885,0.1893,0.19,0.191,0.1946,0.1943,0.1982,0,0.99
tsyl201,20686,1237821,0.0416,0.1372,0.044,0.0522,0.0588,0.072,0.0801,0.0973,0.1162,0.1244,0,0.95
tube1,21499,459277,0.0153,0.052,0.0179,0.0294,0.0351,0.0375,0.0449,0.0473,0.0523,0.0531,0,0.85
tube2,21499,459277,0.0167,0.0511,0.0196,0.0294,0.0342,0.0383,0.0442,0.049,0.0555,0.0572,0,0.85
turon_m,189925,912345,0.255,0.3639,0.2653,0.5995,0.5805,0.6084,0.4646,0.4451,0.3713,0.3672,0,0.96
usroads,129165,165435,0.1383,0.2072,0.1462,0.2255,0.2088,0.208,0.2072,0.2075,0.2072,0.2073,0,0.95
usroads-48,126147,161950,0.1352,0.2026,0.1425,0.2198,0.204,0.2029,0.2028,0.2028,0.2032,0.2031,0,0.95
vanbody,47073,1191985,0.04,0.1363,0.0433,0.0695,0.0801,0.0932,0.1006,0.1105,0.1219,0.1268,0,0.92
venturiLevel3,4026820,8054237,4.751,7.0194,4.9091,12.9609,8.8956,7.0223,7.0199,7.0184,7.0196,7.0186,0,0.97
vibrobox,12329,177578,0.016,0.0232,0.0178,0.0285,0.0318,0.0277,0.0256,0.0253,0.0244,0.0244,0,0.9
viscorocks,37763,1162244,0.0371,0.1167,0.0393,0.0452,0.0449,0.0801,0.0851,0.0916,0.1089,0.1293,0,0.94
vsp_barth5_1Ksep_50in_5Kout,32213,101805,0.0203,0.029,0.0228,0.0326,0.0302,0.0301,0.031,0.0301,0.031,0.0302,0,0.89
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,0.2906,0.2462,0.2927,0.2543,0.2491,0.2474,0.248,0.2479,0.2479,0.2479,9,1.0
vsp_befref_fxm_2_4_air02,14110,98224,0.0106,0.0159,0.013,0.0269,0.0269,0.026,0.0253,0.0204,0.0187,0.0179,0,0.82
vsp_bump2_e18_aa01_model1_crew1,56439,300801,0.0367,0.0552,0.0392,0.0834,0.0802,0.0777,0.0654,0.0637,0.0596,0.0588,0,0.94
vsp_c-30_data_data,11024,62184,0.0065,0.0117,0.009,0.0179,0.0195,0.0187,0.0171,0.0163,0.0163,0.0162,0,0.72
vsp_c-60_data_cti_cs4,85831,241080,0.0311,0.0617,0.0343,0.0973,0.0777,0.076,0.0719,0.0712,0.0703,0.0695,0,0.91
vsp_finan512_scagr7-2c_rlfddd,139753,552020,0.1298,0.1867,0.1329,0.3541,0.2937,0.2837,0.26,0.2362,0.2076,0.186,0,0.98
vsp_mod2_pgp2_slptsk,101365,389368,0.0767,0.0883,0.0803,0.1357,0.1149,0.1027,0.0977,0.0954,0.0943,0.0935,0,0.96
vsp_model1_crew1_cr42_south31,45102,189976,0.0224,0.043,0.0253,0.0736,0.0687,0.0662,0.0654,0.0646,0.0629,0.0621,0,0.89
vsp_msc10848_300sep_100in_1Kout,21997,1221028,0.1711,0.1462,0.1729,0.1556,0.1498,0.149,0.1481,0.1481,0.1481,0.1481,9,0.99
vsp_p0291_seymourl_iiasa,10499,53868,0.0115,0.0127,0.0138,0.0195,0.0171,0.0163,0.0165,0.0162,0.0163,0.0163,0,0.83
vsp_sctap1-2b_and_seymourl,40175,140831,0.0264,0.0372,0.0288,0.0633,0.0425,0.0416,0.0417,0.0416,0.0408,0.04,0,0.92
vsp_south31_slptsk,39669,189914,0.024,0.0381,0.0261,0.0629,0.0637,0.0621,0.0605,0.0597,0.0588,0.058,0,0.92
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,0.0453,0.0863,0.0482,0.136,0.1368,0.1326,0.1306,0.1227,0.1104,0.0992,0,0.94
vt2010,32581,77799,0.0171,0.0268,0.0196,0.045,0.031,0.0302,0.0294,0.0288,0.0286,0.0285,0,0.87
wathen100,30402,251001,0.018,0.0404,0.0212,0.0375,0.0637,0.0539,0.0556,0.0417,0.0416,0.0417,0,0.85
wathen120,36442,301101,0.0208,0.0479,0.0245,0.0441,0.0753,0.0637,0.0655,0.0491,0.049,0.049,0,0.85
web-Google,916429,5105039,1.8706,2.082,1.9004,2.1378,2.0778,2.0811,2.0775,2.0772,2.078,2.0786,0,0.98
web-NotreDame,325730,1497134,0.3103,0.3852,0.3154,0.5591,0.5328,0.5144,0.4981,0.4836,0.471,0.4575,0,0.98
wikipedia-20051105,1634990,19753078,4.7545,5.3366,4.7983,6.581,5.7141,5.5063,5.4447,5.4176,5.399,5.3834,0,0.99
wikipedia-20060925,2983495,37269096,10.5395,11.5922,10.6079,13.8511,12.2049,11.8397,11.7283,11.6935,11.665,11.6496,0,0.99
wikipedia-20061104,3148441,39383235,11.2633,12.3969,11.3559,14.7322,13.0429,12.6659,12.5216,12.4731,12.4861,12.4629,0,0.99
wikipedia-20070206,3566908,45030389,13.193,14.4596,13.3016,17.0888,15.1939,14.7506,14.6158,14.5586,14.5302,14.508,0,0.99
wiki-Talk,2394386,5021410,2.3001,2.1782,2.3071,2.329,2.2804,2.2526,2.2402,2.2297,2.2247,2.2166,9,0.98
windscreen,22693,752541,0.0232,0.0789,0.0252,0.0361,0.04,0.0457,0.0572,0.0622,0.0705,0.0769,0,0.92
wing_nodal,10938,75488,0.0122,0.0143,0.0147,0.0187,0.0163,0.0163,0.0163,0.0155,0.0155,0.0154,0,0.83
wy2010,86205,213793,0.0767,0.0661,0.0835,0.1045,0.0729,0.0748,0.0749,0.0744,0.073,0.0731,9,0.91
x104,108385,5138004,0.1944,0.5836,0.1964,0.2815,0.3091,0.3675,0.3903,0.4592,0.4878,0.5287,0,0.99
Zd_Jac2,22836,1642833,0.0715,0.1838,0.0744,0.085,0.0941,0.103,0.1154,0.1286,0.1441,0.1735,0,0.96
Zd_Jac3,22836,1916152,0.0783,0.2085,0.081,0.0916,0.1019,0.1113,0.1219,0.136,0.1531,0.1678,0,0.97
Zd_Jac6,22836,1711983,0.0725,0.192,0.0753,0.0859,0.0949,0.1039,0.1121,0.126,0.1426,0.1556,0,0.96
