dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,rode,ours_gflops
dielFilterV2clx, 607232, 607232, 12958252, 3.633562, 1783.146718, 2.671897, 2424.933447, 2.945229, 2199.888071
dielFilterV2real, 1157456, 1157456, 24848204, 7.525478, 1651.186956, 5.183990, 2396.989687, 5.638247, 2203.871653
dielFilterV3clx, 420408, 420408, 16653308, 3.069030, 2743.169081, 3.606528, 2334.341792, 2.995478, 2810.525737
Dubcova1, 16129, 16129, 134569, 0.025536, 2536.431005, 0.036848, 1757.769880, 0.021504, 3012.011929
Dubcova3, 146689, 146689, 1891669, 0.357888, 2601.322552, 0.582960, 1596.991503, 0.344883, 2699.412829
e40r0100, 17281, 17281, 553562, 0.055165, 2568.882089, 0.059802, 2369.700249, 0.040346, 3512.449217
EAT_RS, 23219, 23219, 325592, 0.061536, 1354.516853, 0.052829, 1577.767258, 0.043299, 1925.013622
ecology1, 1000000, 1000000, 2998000, 1.378195, 928.007882, 1.850368, 691.200913, 1.220710, 1047.730918
ecology2, 999999, 999999, 2997995, 1.378285, 927.945852, 1.851802, 690.664507, 1.219158, 1049.062808
email-Enron, 36692, 36692, 183831, 0.075981, 1238.753363, 0.058163, 1618.230583, 0.044032, 2137.569840
Emilia_923, 923136, 923136, 20964171, 3.181875, 3299.102567, 3.736371, 2809.499401, 4.647462, 2258.723512
engine, 143571, 143571, 2424822, 0.438566, 2747.029165, 0.499917, 2409.910424, 0.434893, 2770.233710
enron, 69244, 69244, 276143, 0.075504, 936.276342, 0.067584, 1045.996181, 0.041677, 1696.210015
eu-2005, 862664, 862664, 19235140, 2.217577, 2220.529259, 2.205072, 2233.122452, 2.058326, 2392.329994
ex11, 16614, 16614, 1096948, 0.089386, 3141.654712, 0.110355, 2544.680197, 0.057856, 4853.752257
ex19, 12005, 12005, 259879, 0.028445, 2338.881782, 0.034202, 1945.202031, 0.023654, 2812.543312
F1, 343791, 343791, 13590452, 2.102973, 3266.947128, 3.018445, 2276.106183, 2.453299, 2800.433430
F2, 71505, 71505, 2682895, 0.390950, 3466.774767, 0.571830, 2370.172909, 0.384678, 3523.298734
Fault_639, 638802, 638802, 14626683, 2.327158, 3147.756733, 2.669773, 2743.802245, 3.221443, 2273.927548
fcondp2, 201822, 201822, 5748069, 0.588800, 4910.572164, 1.206589, 2396.296733, 1.051238, 2750.417776
fem_hifreq_circuit, 491100, 491100, 20239237, 2.223283, 2330.447458, 2.321002, 2232.331342, 2.341990, 2212.325258
filter3D, 106437, 106437, 1406808, 0.341914, 2026.938427, 0.321613, 2154.882517, 0.292064, 2372.897125
finance256, 37376, 37376, 167936, 0.039322, 1943.333265, 0.047811, 1598.265136, 0.030925, 2470.993374
Flan_1565, 1564794, 1564794, 59485419, 6.389043, 4704.295628, 12.217116, 2460.150654, 8.708090, 3451.497306
flickr, 820878, 820878, 9837214, 1.984205, 1269.186881, 2.189594, 1150.134387, 1.948672, 1292.329800
foldoc, 13356, 13356, 120238, 0.017840, 1725.388389, 0.023638, 1302.157821, 0.013744, 2239.590286
Freescale1, 3428755, 3428755, 18920347, 10.087629, 480.153350, 10.528934, 460.028395, 8.072320, 600.026877
fullb, 199187, 199187, 5953632, 0.668253, 4485.230295, 1.226115, 2444.523685, 1.082544, 2768.725890
FullChip, 2987012, 2987012, 26621990, 75.359741, 90.435945, 9.923562, 686.772505, 8.037171, 847.963704
fxm4_6, 18892, 18892, 258368, 0.049878, 2555.175438, 0.052531, 2426.140321, 0.030925, 4121.225160
G2_circuit, 150102, 150102, 438388, 0.212685, 874.667797, 0.294298, 632.110300, 0.186858, 995.563140
G3_circuit, 1585478, 1585478, 4623152, 2.839139, 690.762705, 3.435827, 570.800366, 2.325402, 843.368897
Ga10As10H30, 113081, 113081, 3114357, 0.533504, 2934.564728, 0.727533, 2151.933238, 0.573235, 2731.168826
Ga19As19H42, 133123, 133123, 4508981, 0.812954, 2797.845873, 1.033830, 2200.088989, 0.737382, 3084.585077
Ga3As3H12, 61349, 61349, 3016148, 0.347136, 4403.353285, 0.687933, 2221.964823, 0.399360, 3827.530232
Ga41As41H72, 268096, 268096, 9378286, 1.833062, 2582.045190, 2.144461, 2207.104790, 1.559542, 3034.896613
GaAsH6, 61349, 61349, 1721579, 0.236310, 3663.584275, 0.387152, 2236.183965, 0.272064, 3182.130388
gas_sensor, 66917, 66917, 885141, 0.127590, 3417.666374, 0.154234, 2827.279164, 0.119398, 3652.154706
Ge87H76, 112985, 112985, 4002590, 0.790221, 2556.756236, 0.917094, 2203.046789, 0.674586, 2995.026839
Ge99H100, 112985, 112985, 4282190, 0.847565, 2552.674602, 0.974224, 2220.800484, 0.695898, 3109.016592
gearbox, 153746, 153746, 4617075, 0.640410, 3629.838432, 0.936038, 2483.427418, 0.819520, 2836.518247
Geo_1438, 1437960, 1437960, 32297325, 5.048218, 3202.736761, 5.837005, 2769.933048, 7.218483, 2239.821401
gridgena, 48962, 48962, 280523, 0.049120, 2668.841694, 0.062362, 2102.151134, 0.029798, 4399.347020
gsm_106857, 589446, 589446, 11174185, 4.004176, 1391.118826, 6.767180, 823.132239, 5.042672, 1104.629566
gupta1, 31802, 31802, 1098006, 0.332790, 1664.824954, 0.184525, 3002.511125, 0.182906, 3029.091250
gupta2, 62064, 62064, 2155175, 0.518861, 2096.055783, 0.367206, 2961.716344, 0.351152, 3097.123879
gupta3, 16783, 16783, 4670105, 0.966656, 2469.127869, 0.936755, 2547.941407, 0.696013, 3429.243500
gyro, 17361, 17361, 519260, 0.075466, 3464.051146, 0.108646, 2406.123835, 0.057242, 4566.900656
gyro_k, 17361, 17361, 519260, 0.075981, 3440.562651, 0.108646, 2406.123835, 0.057232, 4567.666884
gyro_m, 17361, 17361, 178896, 0.042189, 2065.722118, 0.047638, 1829.413529, 0.037274, 2338.124956
H2O, 67024, 67024, 1141880, 0.227021, 2499.702430, 0.247302, 2294.698478, 0.242790, 2337.342999
halfb, 224617, 224617, 6306219, 0.694886, 4563.741906, 1.282970, 2471.829613, 1.196739, 2649.935913
Hamrle3, 1447360, 1447360, 5514242, 2.566381, 550.053175, 3.429683, 411.596590, 2.527027, 558.619231
hangGlider_4, 15561, 15561, 79088, 0.258352, 148.170686, 0.028570, 1339.892474, 0.025293, 1513.481849
hangGlider_5, 16011, 16011, 82070, 0.265421, 149.735728, 0.029286, 1357.045478, 0.025907, 1534.051349
helm2d03, 392257, 392257, 1567096, 0.729798, 961.820892, 1.059533, 662.495147, 0.760422, 923.086091
helm3d01, 32226, 32226, 230335, 0.053862, 2036.330841, 0.060896, 1801.130926, 0.043725, 2508.454381
hi2010, 25016, 25016, 62063, 0.021914, 1450.070096, 0.032051, 991.421735, 0.018115, 1754.121170
hollywood-2009, 1139905, 1139905, 57515616, 15.288320, 1907.088605, 12.131239, 2403.396782, 11.631514, 2506.653886
hood, 220542, 220542, 5494489, 0.716493, 3847.518958, 1.170330, 2355.507102, 1.148518, 2400.239895
Hook_1498, 1498023, 1498023, 31207734, 8.908092, 1750.640322, 5.966233, 2613.854464, 6.162519, 2530.599527
HTC_336_4438, 226340, 226340, 565431, 0.462467, 500.700666, 0.581734, 398.046986, 0.392874, 589.394741
HTC_336_9129, 226340, 226340, 554881, 0.454797, 497.268311, 0.580301, 389.722070, 0.390963, 578.458622
hugetric-00000, 5824554, 5824554, 8733523, 10.463315, 427.356326, 14.246298, 313.875486, 10.574541, 422.861276
human_gene1, 22283, 22283, 12345963, 2.016240, 3132.280299, 2.817501, 2241.500139, 2.950243, 2140.646790
human_gene2, 14340, 14340, 9041364, 1.501808, 3079.959224, 2.072259, 2232.108542, 2.096422, 2206.381385
HV15R, 2017169, 2017169, 283073458, 27.908194, 2596.613931, 28.522724, 2540.669215, 14.912176, 4859.572657
ibm_matrix_2, 51448, 51448, 1056610, 0.158099, 1710.901528, 0.093597, 2889.972363, 0.056934, 4750.944377
igbt3, 10938, 10938, 234006, 0.027341, 2191.067450, 0.032358, 1851.313346, 0.022528, 2659.159070
in-2004, 1382908, 1382908, 16917053, 2.645401, 1637.091930, 2.712986, 1596.309818, 2.215936, 1954.372958
inlet, 11730, 11730, 328323, 0.030925, 2717.905626, 0.034096, 2465.118753, 0.027546, 3051.328871
inline_1, 503712, 503712, 18660027, 3.532902, 2667.773447, 3.765043, 2503.286922, 3.138762, 3002.771472
ins2, 309412, 309412, 1530448, 9.805308, 71.836587, 1.060438, 664.234600, 0.757248, 930.183883
italy_osm, 6686493, 6686493, 7013978, 9.587098, 374.582252, 12.470154, 287.980148, 8.417757, 426.616839
jan99jac120sc, 41374, 41374, 260202, 0.035328, 1885.521697, 0.042701, 1559.964018, 0.024166, 2756.377035
juba40k, 40337, 40337, 144945, 0.026598, 1395.043317, 0.037254, 996.014456, 0.017923, 2070.273150
k3plates, 11107, 11107, 378927, 0.027034, 3588.323836, 0.040630, 2387.505699, 0.027219, 3563.856084
kim1, 38415, 38415, 933195, 0.060006, 3981.207473, 0.066947, 3568.452862, 0.047408, 5039.190049
