dataSet,rows_,columns_,nonzeros_,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,rode,ours_gflops
af_shell4, 504855, 504855, 9046865, 3.062067, 756.350946, 1.542349, 1501.604235, 0.749670, 3089.354213
af_shell5, 504855, 504855, 9046865, 3.059917, 756.882469, 1.542246, 1501.703868, 0.750490, 3085.981990
af_shell6, 504855, 504855, 9046865, 3.062784, 756.173937, 1.553408, 1490.913853, 0.749158, 3091.465696
af_shell7, 504855, 504855, 9046865, 3.061146, 756.578663, 1.544090, 1499.911297, 0.749670, 3089.354213
af_shell8, 504855, 504855, 9046865, 3.062170, 756.325647, 1.546035, 1498.023750, 0.750387, 3086.403213
af_shell9, 504855, 504855, 9046865, 3.063706, 755.946463, 1.545523, 1498.520042, 0.750182, 3087.245809
ak2010, 45292, 45292, 108549, 0.066355, 418.784731, 0.446771, 62.198603, 0.038502, 721.735351
Andrews, 60000, 60000, 410077, 0.088064, 1192.084343, 0.444416, 236.219471, 0.071270, 1472.977724
AS365, 3799275, 3799275, 11368076, 8.745165, 332.781328, 9.784320, 297.437884, 7.259136, 400.905476
as-caida, 31379, 31379, 106762, 0.117350, 232.901397, 0.433459, 63.053392, 0.044032, 620.709323
ASIC_680k, 682862, 682862, 3871773, 13.760716, 72.029237, 1.968845, 503.429163, 1.329152, 745.718984
as-Skitter, 1696415, 1696415, 11095298, 3.042509, 933.570416, 3.740775, 759.306999, 2.343731, 1211.912180
astro-ph, 16706, 16706, 121251, 0.048538, 639.509493, 0.423936, 73.219205, 0.033894, 915.793084
audikw_1, 943695, 943695, 39297771, 9.602969, 1047.616523, 4.316160, 2330.828745, 4.318208, 2329.723241
auto, 448695, 448695, 3314611, 1.090458, 778.150744, 1.217024, 697.225682, 0.603034, 1407.119652
barrier2-1, 113076, 113076, 3805068, 0.545894, 1784.406354, 0.647578, 1504.217222, 0.472986, 2059.465246
barrier2-10, 115625, 115625, 3897557, 0.584499, 1707.058905, 0.651674, 1531.095609, 0.488038, 2044.459203
barrier2-11, 115625, 115625, 3897557, 0.582758, 1712.158294, 0.648397, 1538.833359, 0.487424, 2047.036272
barrier2-12, 115625, 115625, 3897557, 0.584499, 1707.058905, 0.647475, 1541.023656, 0.488141, 2044.030223
barrier2-2, 113076, 113076, 3805068, 0.541594, 1798.576293, 0.635904, 1531.830970, 0.472474, 2061.696916
barrier2-3, 113076, 113076, 3805068, 0.540570, 1801.983358, 0.632320, 1540.513305, 0.472166, 2063.038407
barrier2-4, 113076, 113076, 3805068, 0.540672, 1801.641992, 0.640410, 1521.053696, 0.471654, 2065.277832
barrier2-9, 115625, 115625, 3897557, 0.583885, 1708.855193, 0.646451, 1543.464707, 0.488243, 2043.601622
bauru5727, 40366, 40366, 145019, 0.057446, 646.252202, 0.445338, 83.363420, 0.037990, 977.216976
bbmat, 38744, 38744, 1771722, 0.195072, 2325.094545, 0.333107, 1361.606172, 0.101376, 4474.045584
bcsstk17, 10974, 10974, 219812, 0.051405, 1094.681317, 0.412774, 136.325967, 0.038195, 1473.270825
bcsstk18, 11948, 11948, 80519, 0.053043, 388.605223, 0.404275, 50.987211, 0.031232, 659.991816
bcsstk25, 15439, 15439, 133840, 0.045773, 748.545864, 0.398643, 85.949138, 0.029491, 1161.805514
bcsstk29, 13992, 13992, 316740, 0.062566, 1295.990189, 0.397312, 204.085053, 0.038502, 2105.983982
bcsstk30, 28924, 28924, 1036208, 0.146432, 1811.552516, 0.368742, 719.389069, 0.077722, 3413.069753
bcsstk31, 35588, 35588, 608502, 0.098714, 1578.065343, 0.405094, 384.543745, 0.058163, 2678.265762
bcsstk32, 44609, 44609, 1029655, 0.146534, 1798.838284, 0.380006, 693.650617, 0.071987, 3661.646526
bcsstk35, 30237, 30237, 740200, 0.110592, 1713.425992, 0.346317, 547.161458, 0.054886, 3452.425329
bcsstk36, 23052, 23052, 583096, 0.091955, 1623.318436, 0.394650, 378.240788, 0.046899, 3182.838463
bcsstk37, 25503, 25503, 583240, 0.091034, 1640.157449, 0.402125, 371.301260, 0.048742, 3063.235381
bcsstk39, 46772, 46772, 1068033, 0.143053, 1911.297363, 0.360243, 758.977399, 0.071270, 3836.325416
bcsstm36, 23052, 23052, 166389, 0.051200, 831.944960, 0.410010, 103.889230, 0.032256, 1320.547569
belgium_osm, 1441295, 1441295, 1549970, 1.912525, 207.470419, 2.610995, 151.969757, 1.676288, 236.708914
BenElechi1, 245874, 245874, 6698185, 0.965427, 1776.141532, 0.784486, 2185.806387, 0.580813, 2952.303040
blockqp1, 60012, 60012, 340022, 0.782029, 111.307448, 0.432026, 201.482568, 0.057958, 1501.863951
bloweya, 30004, 30004, 80005, 0.231424, 88.501107, 0.410522, 49.890870, 0.041267, 496.308917
bloweybl, 30003, 30003, 70001, 0.233165, 76.856606, 0.424346, 42.230334, 0.043315, 413.717503
bmw3_2, 227362, 227362, 5757996, 0.753869, 1955.309651, 0.743834, 1981.689180, 0.616243, 2391.988958
bmw7st_1, 141347, 141347, 3740507, 0.485990, 1970.347210, 0.532173, 1799.358687, 0.388096, 2467.352910
bmwcra_1, 148770, 148770, 5396386, 0.628224, 2199.016330, 0.714138, 1934.465868, 0.555725, 2485.897313
