dataSet,num_nodes,num_edges,spmm_tcu,spmm_cuda,1,2,3,4,5,6,7,8,dur,density,speedup
CurlCurl_4,2380516,14448191,2.2886,3.6995,2.3235,5.742,7.6638,3.8227,3.72,3.6995,3.685,3.6855,0.5512,0,0.98
cvxqp3,17501,69981,0.0114,0.017,0.0126,0.0173,0.0174,0.0173,0.0173,0.0166,0.0173,0.0168,0.0043,0,0.9
cyl6,13682,363961,0.0169,0.0224,0.0177,0.0176,0.0193,0.0217,0.0225,0.025,0.0258,0.0268,0.0037,0,0.96
darcy003,389875,1167685,0.3968,0.6487,0.4097,1.0701,0.9181,0.636,0.6175,0.616,0.6166,0.6161,0.0811,0,0.97
dawson5,51538,531157,0.0352,0.061,0.0366,0.0725,0.093,0.084,0.0791,0.0692,0.0636,0.0618,0.0116,0,0.96
dblp-2010,326187,807700,0.2751,0.3688,0.2801,0.6719,0.6454,0.5377,0.4477,0.4086,0.3878,0.3772,0.0686,0,0.98
dc3,116836,766396,0.1132,0.2475,0.1155,0.3624,0.398,0.4244,0.4245,0.3941,0.3914,0.4131,0.0299,0,0.98
de2010,24116,58028,0.0141,0.0191,0.0143,0.0292,0.0209,0.0202,0.0201,0.0201,0.0201,0.0201,0.005,0,0.99
debr,1048577,2097149,1.0611,1.6097,1.0567,2.8307,1.6122,1.6116,1.611,1.6102,1.6109,1.6092,0.2121,1,1.0
delaunay_n15,32769,98274,0.0147,0.026,0.0157,0.0419,0.045,0.0385,0.0291,0.0266,0.0267,0.0259,0.0068,0,0.94
delaunay_n16,65537,196575,0.0259,0.0511,0.0274,0.0823,0.0889,0.075,0.0564,0.052,0.0513,0.0512,0.0135,0,0.95
delaunay_n17,131073,393176,0.1154,0.1499,0.1188,0.2663,0.2712,0.2097,0.1566,0.1499,0.1492,0.1492,0.0274,0,0.97
delaunay_n18,262145,786396,0.2379,0.3589,0.2419,0.6555,0.6958,0.5479,0.3944,0.3627,0.3587,0.3594,0.0569,0,0.98
delaunay_n19,524289,1572823,0.4792,0.7377,0.4852,1.326,1.4213,1.1681,0.84,0.7546,0.7381,0.7385,0.1163,0,0.99
delaunay_n20,1048577,3145686,0.9533,1.4802,0.9681,2.6588,2.833,2.2799,1.6663,1.5053,1.4809,1.4811,0.2418,0,0.98
delaunay_n21,2097153,6291408,1.9099,2.991,1.9411,5.3437,5.7177,4.7229,3.4103,3.0469,2.9958,2.9917,0.4208,0,0.98
delaunay_n22,4194305,12582869,3.813,5.951,3.8607,10.6544,11.3347,9.1408,6.6772,6.0468,5.9574,5.9495,0.8012,0,0.99
denormal,89401,622812,0.0477,0.0946,0.0499,0.1559,0.1776,0.0946,0.0948,0.0947,0.0946,0.0948,0.0192,0,0.96
dictionary28,52653,89038,0.021,0.0295,0.0217,0.0471,0.0356,0.0332,0.0316,0.0316,0.0315,0.0307,0.0101,0,0.97
dielFilterV2clx,607233,12958252,0.8661,1.0586,0.8725,1.7982,2.0791,2.1023,1.971,1.792,1.6227,1.4739,0.2237,0,0.99
dielFilterV2real,1157457,24848204,1.656,2.0266,1.6666,3.4641,3.9489,3.9763,3.7071,3.3278,3.0,2.7051,0.4465,0,0.99
