dataSet,num_nodes,num_edges,sddmm_tcu,sddmm_cuda,8,16,24,32,40,48,56,64,density,speedup
conf6_0-8x8-80,49153,1916928,0.0194,0.051,0.0208,0.0224,0.0233,0.0233,0.0274,0.0372,0.0388,0.0389,0,0.93
consph,83335,3046907,0.0243,0.0774,0.0257,0.0314,0.0329,0.0364,0.0388,0.0479,0.0487,0.0495,0,0.95
cont-201,80596,239596,0.0094,0.0421,0.0094,0.0404,0.0405,0.0429,0.0429,0.0429,0.0429,0.043,0,1.0
cont-300,180896,539396,0.0163,0.0917,0.0168,0.0855,0.0855,0.0921,0.0921,0.0921,0.092,0.0922,0,0.97
coPapersCiteseer,434103,16036720,0.2818,0.4357,0.2737,0.3172,0.3247,0.3534,0.3634,0.3724,0.3798,0.3782,8,1.03
coPapersDBLP,540487,15245729,0.3409,0.4477,0.3663,0.3986,0.3727,0.3889,0.3765,0.3849,0.3977,0.4026,0,0.93
copter1,17223,114143,0.0053,0.0107,0.0061,0.0061,0.0093,0.0093,0.011,0.0109,0.011,0.0109,0,0.87
CoupCons3D,416801,22322336,0.2001,0.4794,0.2082,0.214,0.1906,0.1964,0.2308,0.2376,0.2599,0.2959,24,1.05
crankseg_1,52805,5333507,0.0421,0.1079,0.0431,0.0446,0.047,0.0495,0.0527,0.0544,0.0609,0.0634,0,0.98
crankseg_2,63839,7106348,0.0537,0.1407,0.0552,0.0576,0.0585,0.0617,0.0667,0.0707,0.079,0.0814,0,0.97
crplat2,18011,489478,0.0061,0.0128,0.0061,0.006,0.0069,0.0077,0.0077,0.0085,0.0076,0.0077,16,1.02
crystk02,13966,491274,0.0058,0.0139,0.0061,0.0068,0.0068,0.0069,0.007,0.0085,0.0094,0.0094,0,0.95
crystk03,24697,887937,0.0084,0.0231,0.0084,0.0101,0.0101,0.0102,0.011,0.0142,0.0143,0.0151,0,1.0
crystm02,13966,168435,0.0051,0.0091,0.0069,0.0069,0.0101,0.0109,0.0094,0.0102,0.0093,0.0101,0,0.74
crystm03,24697,304233,0.0072,0.0145,0.0102,0.011,0.0159,0.0167,0.0159,0.0151,0.0151,0.0151,0,0.71
ct2010,67579,168176,0.011,0.0292,0.0142,0.0232,0.0298,0.0298,0.0299,0.0298,0.0297,0.0298,0,0.77
ct20stif,52330,1375396,0.0226,0.0356,0.0232,0.0257,0.029,0.0314,0.0339,0.0331,0.0356,0.0363,0,0.97
Cube_Coup_dt0,2164761,64685452,0.7311,1.3648,0.6832,0.7706,0.8852,0.9452,1.0047,1.1659,1.2438,1.2463,8,1.07
Cube_Coup_dt6,2164761,64685452,0.7263,1.3648,0.6822,0.7704,0.8867,0.9468,1.0047,1.1663,1.2431,1.2446,8,1.06
CurlCurl_0,11084,62213,0.0036,0.0076,0.0044,0.0053,0.0052,0.0053,0.0069,0.0084,0.0085,0.0085,0,0.82
CurlCurl_4,2380516,14448191,0.3026,1.1785,0.3745,0.8775,0.8772,0.8776,0.9691,1.2835,1.2841,1.2841,0,0.81
cvxqp3,17501,69981,0.005,0.0108,0.0053,0.0061,0.011,0.0117,0.0118,0.0118,0.0118,0.0117,0,0.94
cyl6,13682,363961,0.0105,0.0093,0.0102,0.0102,0.0053,0.0069,0.0069,0.0069,0.0069,0.007,24,1.75
darcy003,389875,1167685,0.0338,0.1948,0.0642,0.0904,0.1814,0.1953,0.1952,0.1953,0.1965,0.1953,0,0.53
dawson5,51538,531157,0.0096,0.0276,0.0118,0.0167,0.0224,0.0257,0.0273,0.0281,0.0274,0.0274,0,0.81
dblp-2010,326187,807700,0.1426,0.1245,0.1305,0.129,0.1076,0.1175,0.1207,0.1224,0.1232,0.1232,24,1.16
dc3,116836,766396,0.0704,0.0634,0.0764,0.0831,0.0856,0.0766,0.0609,0.0634,0.0642,0.0642,40,1.04
de2010,24116,58028,0.0061,0.0118,0.0065,0.0101,0.0121,0.0122,0.0129,0.013,0.013,0.0122,0,0.94
debr,1048577,2097149,0.1082,0.5207,0.1939,0.4206,0.5551,0.5549,0.5548,0.5548,0.5549,0.555,0,0.56
delaunay_n15,32769,98274,0.0059,0.0163,0.0077,0.0093,0.0101,0.0167,0.0167,0.0167,0.0167,0.0167,0,0.77
delaunay_n16,65537,196575,0.008,0.0302,0.0134,0.0158,0.0183,0.0298,0.0306,0.0306,0.0307,0.0307,0,0.6
delaunay_n17,131073,393176,0.012,0.0585,0.0232,0.0282,0.0315,0.0576,0.0593,0.0594,0.0593,0.0593,0,0.52
delaunay_n18,262145,786396,0.0214,0.1146,0.0445,0.0552,0.0642,0.1117,0.115,0.115,0.115,0.115,0,0.48
delaunay_n19,524289,1572823,0.0388,0.2274,0.0839,0.1052,0.1183,0.2239,0.228,0.228,0.228,0.228,0,0.46
delaunay_n20,1048577,3145686,0.1138,0.452,0.2008,0.2438,0.2815,0.4847,0.4955,0.4955,0.4951,0.4952,0,0.57
delaunay_n21,2097153,6291408,0.244,0.904,0.4377,0.5262,0.5927,1.0096,1.0221,1.0222,1.0219,1.022,0,0.56
delaunay_n22,4194305,12582869,0.4952,1.8,0.912,1.101,1.2683,2.0409,2.0617,2.0621,2.062,2.0625,0,0.54
denormal,89401,622812,0.0103,0.0464,0.0102,0.0527,0.0527,0.0527,0.0527,0.0471,0.0474,0.047,8,1.01
dictionary28,52653,89038,0.0094,0.0181,0.0118,0.0159,0.0183,0.0191,0.0184,0.0192,0.0184,0.0191,0,0.8
dielFilterV2clx,607233,12958252,0.3353,0.3697,0.3668,0.4255,0.3349,0.3651,0.3947,0.3976,0.4142,0.4161,24,1.0
dielFilterV2real,1157457,24848204,0.5845,0.7126,0.591,0.7123,0.6907,0.7507,0.7983,0.8037,0.8318,0.8352,0,0.99
dielFilterV3clx,420409,16653308,0.3109,0.4214,0.3322,0.3609,0.3101,0.3347,0.3256,0.3457,0.3507,0.3631,24,1.0
Dubcova1,16130,134569,0.005,0.0102,0.0061,0.0069,0.011,0.011,0.0102,0.0101,0.0109,0.011,0,0.82
Dubcova3,146690,1891669,0.0227,0.0746,0.0216,0.0401,0.0519,0.0626,0.0716,0.0723,0.0725,0.0724,8,1.05
e40r0100,17282,553562,0.009,0.0152,0.0085,0.0093,0.0093,0.0101,0.0102,0.0118,0.0125,0.0127,8,1.06
EAT_RS,23220,325592,0.0162,0.0163,0.0167,0.02,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0,0.97
ecology1,1000001,2998000,0.1212,0.4964,0.1553,0.1556,0.532,0.5323,0.5322,0.5323,0.5327,0.5328,0,0.78
ecology2,1000000,2997995,0.12,0.4965,0.1553,0.1551,0.5331,0.5328,0.5322,0.5327,0.5322,0.5331,0,0.77
email-Enron,36693,183831,0.0141,0.0206,0.015,0.0183,0.0183,0.02,0.0207,0.0208,0.0207,0.0208,0,0.94
Emilia_923,923137,20964171,0.2925,0.4937,0.3156,0.3209,0.3767,0.4352,0.517,0.5939,0.6218,0.6139,0,0.93
engine,143572,2424822,0.0681,0.0843,0.0729,0.0816,0.0716,0.0789,0.0814,0.0928,0.0847,0.0839,0,0.95
enron,69245,276143,0.0249,0.0141,0.0192,0.0175,0.0151,0.0142,0.0141,0.0143,0.0142,0.0143,128,1.0
eu-2005,862665,19235140,0.5436,0.5731,0.5918,0.6618,0.7517,0.7615,0.7659,0.7616,0.7501,0.742,0,0.92
ex11,16615,1096948,0.0102,0.024,0.0102,0.0102,0.011,0.0109,0.011,0.0118,0.0134,0.0142,0,1.0
ex19,12006,259879,0.0055,0.0093,0.006,0.0061,0.0061,0.0061,0.0085,0.0085,0.0085,0.0093,0,0.92
