dataSet,num_nodes,num_edges,spmm_tcu_ori,spmm_tcu_part,spmm_tcu_binary,spmm_tcu
ca-CondMat,23134,93497,0.0438,0.0329,0.0442,0.0313
TSOPF_FS_b9_c6,14455,75801,0.0123,0.0125,0.0113,0.0119
mac_econ_fwd500,206501,1273389,0.2406,0.2463,0.2277,0.2365
OPF_3754,15436,86854,0.0207,0.0207,0.0213,0.0215
Bump_2911,2911420,65320659,4.7149,4.7124,4.3873,4.5003
Chevron4,711451,6376412,0.6911,0.72,0.6771,0.7177
appu,14001,1853104,0.4368,0.3899,0.3687,0.3236
mc2depi,525826,2100225,0.4769,0.5033,0.4709,0.5024
ted_AB_unscaled,10606,522387,0.0388,0.0405,0.0365,0.0366
al2010,252267,615241,0.1971,0.207,0.198,0.2084
rma10,46836,2374001,0.1335,0.1287,0.1207,0.1197
pds10,16559,83108,0.0268,0.0261,0.0264,0.0257
conf5_4-8x8-15,49153,1916928,0.1514,0.1527,0.1341,0.1364
conf5_4-8x8-10,49153,1916928,0.1519,0.1536,0.135,0.1363
rajat20,86917,605045,3.6848,0.111,3.9862,0.1096
fe_rotor,99618,662431,0.1209,0.1233,0.1142,0.1184
obstclae,40001,118804,0.0347,0.0375,0.0361,0.0385
scfxm1-2r,65944,221388,0.0547,0.056,0.0536,0.0552
mt2010,132289,319334,0.1044,0.1097,0.1046,0.1103
stat96v3,1113781,3317736,0.9099,0.4177,0.9308,0.4155
wikipedia-20051105,1634990,19753078,4.4835,4.6508,4.4053,4.4472
nc2010,288988,708310,0.2213,0.2328,0.2213,0.2344
trans5,116836,766396,15.6156,0.1571,15.5773,0.1574
vsp_sctap1-2b_and_seymourl,40175,140831,0.1123,0.0462,0.1178,0.044
watson_1,386993,1055093,0.2621,0.2645,0.2606,0.2624
vfem,93477,1434636,0.1587,0.161,0.1442,0.1487
bmw7st_1,141348,3740507,0.2631,0.2169,0.2491,0.2074
ch7-8-b3,58801,235200,0.0546,0.0572,0.0502,0.0529
TSOPF_RS_b300_c3,42139,4413449,0.1706,0.1657,0.1527,0.1498
language,399131,1216334,1.9347,0.4061,1.9786,0.4112
t3dl_a,20361,265113,0.0408,0.0409,0.0361,0.0368
wheel_601,902104,2170814,0.8528,0.7241,0.8645,0.7194
rgg_n_2_22_s0,4194305,30359198,7.1307,7.237,6.5485,6.6338
Cube_Coup_dt6,2164761,64685452,4.3731,4.3948,3.8482,3.9318
thermomech_dK,204317,2846228,0.4219,0.4266,0.3939,0.4016
Zhao2,33862,166453,0.0422,0.0435,0.0385,0.0401
cvxqp3,17501,69981,0.0211,0.0217,0.0193,0.02
Reuters911,13333,148038,0.1667,0.0412,0.1906,0.0373
stat96v2,957433,2852184,0.7822,0.3625,0.8035,0.3608
IG5-17,30163,1035008,0.2003,0.1945,0.1687,0.1645
dbic1,226318,1081843,0.6255,0.2705,0.612,0.2573
nmos3,18589,386594,0.0624,0.0625,0.054,0.055
pct20stif,52330,1375396,0.1119,0.0918,0.1149,0.0894
web-NotreDame,325730,1497134,0.6659,0.2532,0.6586,0.2517
bcsstk36,23053,583096,0.043,0.042,0.0373,0.0376
n4c6-b7,163216,1305720,0.2652,0.2693,0.2379,0.2449
NLR,4163764,12487976,4.5849,4.6938,4.6189,4.726
mark3jac080,36610,227955,0.0511,0.0521,0.0476,0.0494
tandem_dual,94070,277281,0.0777,0.086,0.0803,0.0837
